,Commodity Code,Value,Country of Origin,Invoice,Description,Quantity,Net Weight
68,62046318,57327.0,Italy UE,2022/9/20802,Pants woman fibre synthetic,150,7.279776722175842
69,64029996,13831.37,Italy UE,2022/9/20803,Men's shoe plas. rub/pl.sole,34,1.7564024868177524
70,64029996,19526.64,Italy UE,2022/9/20803,Men's shoe plas. rub/pl.sole,48,2.479627040213297
71,64029910,3662.23,China,2022/9/20804,Shoe rubber upp. & rub/pl.sole,11,0.4650551521142574
72,64041990,6170.04,China,2022/9/20805,Shoes fabric & rubb./plas.sole,18,0.7835141131908845
73,64041990,14644.98,China,2022/9/20805,Shoes fabric & rubb./plas.sole,36,1.8597202801599728
74,64041990,12871.98,China,2022/9/20805,Shoes fabric & rubb./plas.sole,36,1.6345725464844314
75,64029998,70795.89,China,2022/9/20805,Women's shoe plas.rub/pl.sole,198,8.990149005664373
76,64029998,25743.96,China,2022/9/20805,Women's shoe plas.rub/pl.sole,72,3.269145092968863
77,64041990,85429.05,China,2022/9/20806,Shoes fabric & rubb./plas.sole,210,10.848368300933176
78,64041990,4290.66,China,2022/9/20806,Shoes fabric & rubb./plas.sole,12,0.5448575154948104
79,64029998,45051.93,China,2022/9/20806,Women's shoe plas.rub/pl.sole,126,5.72100391269551
80,64029998,4290.66,China,2022/9/20806,Women's shoe plas.rub/pl.sole,12,0.5448575154948104
81,64029998,17162.64,China,2022/9/20807,Women's shoe plas.rub/pl.sole,48,2.1794300619792417
82,64041990,2056.68,China,2022/9/20807,Shoes fabric & rubb./plas.sole,6,0.26117137106362814
83,64041990,95192.37,China,2022/9/20807,Shoes fabric & rubb./plas.sole,234,12.088181821039823
84,64041990,1849.83,China,2022/9/20807,Shoes fabric & rubb./plas.sole,6,0.23490413546814828
85,64029998,13758.48,China,2022/9/20807,Women's shoe plas.rub/pl.sole,36,1.747146413322202
86,64029998,10726.65,China,2022/9/20807,Women's shoe plas.rub/pl.sole,30,1.362143788737026
87,64029998,8581.32,China,2022/9/20808,Women's shoe plas.rub/pl.sole,24,1.0897150309896209
88,64041990,2056.68,China,2022/9/20808,Shoes fabric & rubb./plas.sole,6,0.26117137106362814
89,64041990,109837.35,China,2022/9/20808,Shoes fabric & rubb./plas.sole,270,13.947902101199798
90,64041990,5549.49,China,2022/9/20808,Shoes fabric & rubb./plas.sole,18,0.7047124064044449
91,64029998,9172.32,China,2022/9/20808,Women's shoe plas.rub/pl.sole,24,1.1647642755481347
92,64029998,6435.99,China,2022/9/20808,Women's shoe plas.rub/pl.sole,18,0.8172862732422157
93,64029910,614.64,China,2022/9/20809,Shoe rubber upp. & rub/pl.sole,3,0.0780512143408544
94,64029910,6556.16,China,2022/9/20809,Shoe rubber upp. & rub/pl.sole,32,0.8325462863024468
95,64029998,10011.54,China,2022/9/20809,Women's shoe plas.rub/pl.sole,28,1.2713342028212244
96,64029998,19307.97,China,2022/9/20809,Women's shoe plas.rub/pl.sole,54,2.451858819726647
97,64029998,1146.54,China,2022/9/20809,Women's shoe plas.rub/pl.sole,3,0.14559553444351683
98,64041990,10170.13,China,2022/9/20809,Shoes fabric & rubb./plas.sole,25,1.291473051712146
99,64029998,7508.65,China,2022/9/20809,Women's shoe plas.rub/pl.sole,21,0.9535000171815311
100,64041990,4290.66,China,2022/9/20809,Shoes fabric & rubb./plas.sole,12,0.5448575154948104
101,64041990,685.56,China,2022/9/20809,Shoes fabric & rubb./plas.sole,2,0.08705712368787605
102,64041990,4290.66,China,2022/9/20809,Shoes fabric & rubb./plas.sole,12,0.5448575154948104
103,64041990,2466.44,China,2022/9/20809,Shoes fabric & rubb./plas.sole,8,0.3132055139575311
104,64029998,1146.54,China,2022/9/20809,Women's shoe plas.rub/pl.sole,3,0.14559553444351683
105,64029996,22525.97,China,2022/9/20810,Men's shoe plas. rub/pl.sole,63,2.8605025912821422
106,64029996,4068.05,China,2022/9/20810,Men's shoe plas. rub/pl.sole,10,0.5165889667111035
107,64029996,5695.27,China,2022/9/20810,Men's shoe plas. rub/pl.sole,14,0.723224553395545
108,64041990,3028.88,China,2022/9/20811,Shoes fabric & rubb./plas.sole,15,0.38462801329677054
109,64041990,7067.37,China,2022/9/20811,Shoes fabric & rubb./plas.sole,35,0.8974632479111742
110,64041990,3644.5,Serbia,2022/9/20811,Shoes fabric & rubb./plas.sole,25,0.462803674777502
111,64041990,403.85,China,2022/9/20811,Shoes fabric & rubb./plas.sole,2,0.05128365044831779
112,42022100,2378.78,Italy UE,2022/9/20812,Bags leather,3,0.30207384428240536
113,42023100,2133.51,Italy UE,2022/9/20813,small leather goods,19,0.270927772856235
114,42023100,1128.81,Italy UE,2022/9/20813,small leather goods,6,0.14334405710676143
115,64041990,3815.89,Italy UE,2022/9/20814,Shoes fabric & rubb./plas.sole,13,0.484567955699471
116,42022100,5973.04,Italy UE,2022/9/20815,Bags leather,8,0.7584976983380465
117,64041990,9653.99,Italy UE,2022/9/20816,Shoes fabric & rubb./plas.sole,27,1.2259300447977106
118,64041990,6435.99,Italy UE,2022/9/20816,Shoes fabric & rubb./plas.sole,18,0.8172862732422157
119,64029998,7729.29,Italy UE,2022/9/20816,Women's shoe plas.rub/pl.sole,19,0.9815184018167097
120,64041990,587.06,Italy UE,2022/9/20816,Shoes fabric & rubb./plas.sole,2,0.07454891626145707
121,64039198,5343.63,Italy UE,2022/9/20817,Ladies boots leat.upp/rub sole,7,0.6785708878176164
122,64042090,3882.87,Italy UE,2022/9/20817,Shoes fabric upper leath.sole,9,0.4930735367494359
123,64029996,771.26,Italy UE,2022/9/20818,Men's shoe plas. rub/pl.sole,3,0.09793989908324768
124,64029991,2068.5,Italy UE,2022/9/20819,Kids shoe plast.& pl/rub.sole,28,0.26267235595479843
125,65050030,2414.24,Italy UE,2022/9/20820,Berretti con visiera,19,0.3065767989559161
126,65050030,1524.78,Italy UE,2022/9/20820,Berretti con visiera,12,0.1936270509609657
127,42022100,25373.6,Italy UE,2022/9/20821,Bags leather,32,3.2221142330455272
128,42022100,22852.0,Italy UE,2022/9/20821,Bags leather,32,2.9019041229292015
129,42022100,6272.48,Italy UE,2022/9/20821,Bags leather,8,0.7965226489143601
130,42022290,10578.9,Italy UE,2022/9/20821,Handbags woven textile,30,1.3433814775973976
131,42033000,3693.75,Italy UE,2022/9/20821,belts leather / textile,30,0.46905777849071145
132,42033000,5319.0,Italy UE,2022/9/20821,belts leather / textile,40,0.6754432010266245
133,64035999,3885.83,Italy UE,2022/9/20822,Ladies shoes leather upp.&sole,15,0.49344941790661556
134,64041990,84536.64,Italy UE,2022/9/20822,Shoes fabric & rubb./plas.sole,288,10.735043941649819
135,64041990,7683.0,Italy UE,2022/9/20822,Shoes fabric & rubb./plas.sole,24,0.9756401792606799
136,64041990,5283.54,Italy UE,2022/9/20822,Shoes fabric & rubb./plas.sole,18,0.6709402463531137
137,64035999,20478.15,Italy UE,2022/9/20823,Ladies shoes leather upp.&sole,105,2.6004563239525047
138,64035999,1036.22,Italy UE,2022/9/20823,Ladies shoes leather upp.&sole,4,0.1315863421259276
139,64041990,27530.75,Italy UE,2022/9/20823,Shoes fabric & rubb./plas.sole,86,3.4960439756841026
140,64041990,6751.19,Italy UE,2022/9/20823,Shoes fabric & rubb./plas.sole,23,0.8573125370067564
141,64041990,1761.18,Italy UE,2022/9/20823,Shoes fabric & rubb./plas.sole,6,0.22364674878437124
142,64041990,724.96,Italy UE,2022/9/20823,Shoes fabric & rubb./plas.sole,2,0.09206040665844364
