,Commodity Code,Value,Country of Origin,Invoice,Description,Quantity,Net Weight
0,61091000,12678.13,Vietnam,2021/E/02943,T-shirt cotton,372,57.31950374970588
1,61091000,5861.93,Vietnam,2021/E/02943,T-shirt cotton,172,26.50256138843137
2,61091000,6407.23,Vietnam,2021/E/02943,T-shirt cotton,188,28.96793486186275
